Algorithms: Standard Zielonka / Warsaw QPT Zielonka / Liverpool QPT Zielonka
Runnning time is in seconds
For Zielonka algorithms we also output the number of iterations
random-highdegree-200-33.pg;0.000293;5;0.000289;5;0.001492;40
random-highdegree-200-34.pg;0.000276;5;0.000276;5;0.001450;40
random-highdegree-200-35.pg;0.000321;6;0.000320;6;0.003848;117
random-highdegree-200-36.pg;0.000283;4;0.000281;4;0.001647;40
random-highdegree-200-37.pg;0.000282;4;0.000284;4;0.001726;40
random-highdegree-200-38.pg;0.000468;13;0.000462;13;0.017672;709
random-highdegree-200-39.pg;0.000275;4;0.000277;4;0.001630;40
random-highdegree-200-40.pg;0.000513;15;0.000517;15;0.050187;2079
random-highdegree-200-41.pg;0.000269;4;0.000269;4;0.001574;40
random-highdegree-200-42.pg;0.000353;7;0.000354;7;0.004397;147
random-highdegree-200-43.pg;0.000222;3;0.000224;3;0.000571;13
random-highdegree-200-44.pg;0.000293;5;0.000294;5;0.001720;45
random-highdegree-200-45.pg;0.000302;7;0.000305;7;0.002215;72
random-highdegree-200-46.pg;0.000200;2;0.000198;2;0.000626;13
random-highdegree-200-47.pg;0.000318;5;0.000314;5;0.001530;40
random-highdegree-200-48.pg;0.000198;2;0.000199;2;0.000619;13
random-highdegree-200-49.pg;0.000455;9;0.000450;9;0.005689;149
random-highdegree-200-50.pg;0.000232;4;0.000232;4;0.001323;40
random-highdegree-200-51.pg;0.000399;10;0.000404;10;0.020651;677
random-highdegree-200-52.pg;0.000276;4;0.000274;4;0.001641;40
random-highdegree-200-53.pg;0.000366;7;0.000365;7;0.002618;72
random-highdegree-200-54.pg;0.000387;7;0.000386;7;0.002793;72
random-highdegree-200-55.pg;0.000235;3;0.000234;3;0.000602;13
random-highdegree-200-56.pg;0.000361;7;0.000366;7;0.002589;72
random-highdegree-200-57.pg;0.000295;5;0.000295;5;0.001407;40
random-highdegree-200-58.pg;0.000570;17;0.003873;147;0.183563;7349
random-highdegree-200-59.pg;0.000310;7;0.000307;7;0.004253;147
random-highdegree-200-60.pg;0.000277;6;0.000277;6;0.003653;117
random-highdegree-200-61.pg;0.000350;7;0.000419;7;0.004049;117
random-highdegree-200-62.pg;0.000344;8;0.000409;8;0.008633;299
random-highdegree-200-63.pg;0.001082;23;0.001853;58;0.102635;3594
random-highdegree-200-64.pg;0.000472;10;0.000474;10;0.025253;677
random-highdegree-200-65.pg;0.000510;7;0.000349;7;0.002541;72
random-highdegree-200-66.pg;0.000244;4;0.000242;4;0.001509;40
random-highdegree-200-67.pg;0.000202;2;0.000206;2;0.000660;13
random-highdegree-200-68.pg;0.000282;4;0.000281;4;0.001646;40
random-highdegree-200-69.pg;0.000231;3;0.000231;3;0.000591;13
random-highdegree-200-70.pg;0.000495;11;0.000427;11;0.011417;431
random-highdegree-200-71.pg;0.000345;8;0.000341;8;0.007971;299
random-highdegree-200-72.pg;0.000313;5;0.000312;5;0.001816;45
random-highdegree-200-73.pg;0.000477;13;0.000479;13;0.018612;709
random-highdegree-200-74.pg;0.000482;9;0.000431;9;0.012903;404
random-highdegree-200-75.pg;0.000348;7;0.000347;7;0.002551;72
random-highdegree-200-76.pg;0.000278;5;0.000279;5;0.001554;45
random-highdegree-200-77.pg;0.000191;2;0.000190;2;0.000601;13
random-highdegree-200-78.pg;0.000356;7;0.000358;7;0.004527;117
random-highdegree-200-79.pg;0.000245;3;0.000250;3;0.000687;13
random-highdegree-200-80.pg;0.000331;7;0.000334;7;0.004314;147
steady-100-1.pg;0.000053;64;0.000052;64;0.000313;931
steady-100-2.pg;0.000054;72;0.000152;449;0.000444;1460
steady-100-3.pg;0.000036;8;0.000063;8;0.000203;186
steady-100-4.pg;0.000058;43;0.005520;12916;0.031748;71675
steady-100-5.pg;0.000036;12;0.000050;36;0.000359;691
steady-100-6.pg;0.000038;9;0.000040;9;0.000261;256
steady-100-7.pg;0.000124;143;0.000220;715;0.002686;8428
steady-100-8.pg;0.000045;14;0.000045;14;0.000258;262
steady-100-9.pg;0.000026;2;0.000027;2;0.000040;11
steady-100-10.pg;0.000036;7;0.000036;7;0.000131;103
steady-100-11.pg;0.000039;10;0.000040;10;0.000426;382
steady-100-12.pg;0.000035;5;0.000033;5;0.000079;35
steady-100-13.pg;0.000054;19;0.000080;43;0.001281;963
steady-100-14.pg;0.000037;8;0.000037;8;0.000243;186
steady-100-15.pg;0.000026;2;0.000027;2;0.000041;11
steady-100-16.pg;0.000037;6;0.000038;6;0.000077;37
steady-100-17.pg;0.000034;6;0.000036;6;0.000119;81
steady-100-18.pg;0.000039;9;0.000042;9;0.000304;256
steady-100-19.pg;0.000051;38;0.000084;142;0.000711;2294
steady-100-20.pg;0.000077;73;0.000327;917;0.000901;1128
steady-1000-1.pg;0.000202;6;0.000223;6;0.000961;70
steady-1000-2.pg;0.000294;47;0.000318;146;0.118921;16059
steady-1000-3.pg;0.000222;9;0.000265;9;0.009554;935
steady-1000-4.pg;0.000123;2;0.000122;2;0.000380;17
steady-1000-5.pg;0.000196;8;0.000195;8;0.006257;667
steady-1000-6.pg;0.000271;11;0.000253;11;0.009344;979
steady-1000-7.pg;0.000125;2;0.000126;2;0.000328;17
steady-1000-8.pg;0.000319;17;0.000322;17;0.093924;9496
steady-1000-9.pg;0.000256;78;0.000707;331;0.014829;16780
steady-1000-10.pg;0.000192;8;0.000257;8;0.005953;667
steady-1000-11.pg;0.000205;106;0.000946;2221;0.024778;76561
steady-1000-12.pg;0.000153;4;0.000154;4;0.000894;72
steady-1000-13.pg;0.000344;19;0.000356;19;0.049324;5147
steady-1000-14.pg;0.000146;4;0.000148;4;0.000725;61
steady-1000-15.pg;0.000122;2;0.000122;2;0.000323;17
steady-1000-16.pg;0.000123;2;0.000166;2;0.000360;17
steady-1000-17.pg;0.000122;2;0.000124;2;0.000322;17
steady-1000-18.pg;0.000249;50;0.000303;170;0.002929;5325
steady-1000-19.pg;0.000385;17;0.000326;17;0.026157;2707
steady-1000-20.pg;0.000349;157;0.001326;3051;0.024165;50820
steady-200-1.pg;0.000076;58;0.000307;948;0.003639;13254
steady-200-2.pg;0.000057;9;0.000057;9;0.000303;174
steady-200-3.pg;0.000080;126;0.000081;126;0.000512;1666
steady-200-4.pg;0.000062;11;0.000069;11;0.000576;331
steady-200-5.pg;0.000040;4;0.000040;4;0.000104;40
steady-200-6.pg;0.000092;23;0.000154;58;0.005680;3594
steady-200-7.pg;0.000084;136;0.000085;136;0.000670;2812
steady-200-8.pg;0.000233;457;0.017317;55724;0.006824;20769
steady-200-9.pg;0.000071;6;0.000054;6;0.000130;47
steady-200-10.pg;0.000081;17;0.000081;17;0.003565;2156
